0,0.0,134.2,121.22,113.08,0.0,0.0,4.18,6.71,0.0,0.0,18.81,11.33,152.79,196.57,138.27,276.43,39.05,379.39,833.25
1,0.01,134.2,121.22,113.08,0.0,0.0,4.18,6.71,0.0,0.0,18.81,11.33,152.79,196.57,138.27,276.43,39.05,379.39,833.25
2,0.02,126.28,149.82,124.08,0.0,0.0,4.18,6.71,0.0,0.0,16.72,11.33,135.41,184.58,138.27,276.43,39.05,411.07,801.79
3,0.03,116.38,181.94,128.48,0.0,0.0,4.18,6.71,0.0,0.0,16.72,11.33,118.03,170.06,138.27,278.63,39.05,437.69,772.09
4,0.04,108.02,208.89,137.28,4.18,0.0,4.18,6.71,0.0,0.0,14.63,9.46,100.54,154.88,138.27,278.63,39.05,469.26,735.46
5,0.05,99.33,225.5,146.08,8.36,4.29,4.18,6.71,0.0,0.0,14.63,9.46,82.94,136.51,140.8,278.63,39.05,494.45,702.02
6,0.06,94.93,235.95,152.68,14.63,4.29,4.18,9.02,4.51,0.0,12.54,7.59,67.98,115.61,140.8,274.01,39.05,520.19,657.58
7,0.07,92.73,244.31,159.28,22.99,8.58,8.47,11.22,6.71,0.0,12.54,7.59,50.38,90.31,138.27,271.59,39.05,554.29,609.73
8,0.08,90.53,246.4,168.19,39.71,10.78,10.56,15.73,9.02,0.0,10.45,7.59,37.73,65.12,133.21,262.02,39.05,590.92,555.17
9,0.09,90.53,248.49,179.96,62.81,15.18,14.74,20.24,13.53,0.0,10.45,5.61,30.14,44.44,118.03,240.35,41.8,645.48,490.82
10,0.1,88.44,246.4,189.42,81.95,25.96,19.03,22.55,15.73,0.0,10.45,5.61,27.72,35.97,98.67,199.21,47.41,689.48,425.04
11,0.11,90.53,244.31,203.5,92.51,41.25,19.03,27.06,15.73,0.0,10.45,5.61,22.66,31.79,74.69,146.52,70.18,733.92,361.9
12,0.12,90.53,244.31,212.96,100.98,56.43,21.12,29.26,15.73,0.0,10.45,5.61,22.66,27.5,52.91,106.81,102.19,771.32,328.13
13,0.13,92.73,244.31,222.42,107.36,69.3,23.21,33.77,18.04,0.0,10.45,5.61,20.13,25.41,25.19,63.69,110.99,811.14,261.47
14,0.14,94.93,248.49,231.55,111.65,82.17,23.21,38.28,20.24,0.0,8.36,5.61,20.13,23.21,12.54,28.27,93.5,850.52,191.62
15,0.15,99.33,252.67,240.68,115.72,92.95,25.41,42.79,20.24,0.0,10.45,5.61,17.6,21.12,7.48,18.15,73.15,889.79,153.56
16,0.16,103.62,254.76,245.19,117.81,103.73,27.5,47.3,20.24,0.0,10.45,5.61,17.6,19.03,4.95,10.01,67.32,920.15,134.97
17,0.17,108.02,256.85,252.01,119.9,110.22,27.5,51.81,22.55,0.0,10.45,5.61,12.54,14.74,0.0,6.05,58.63,948.86,108.02
18,0.18,110.22,258.94,254.32,121.99,116.71,29.59,56.32,22.55,0.0,10.45,5.61,10.01,12.65,0.0,6.05,39.05,970.64,83.82
19,0.19,110.22,256.85,256.63,123.97,121.0,29.59,60.94,22.55,0.0,10.45,5.61,7.48,10.56,0.0,3.96,16.72,981.75,54.78
20,0.2,110.22,254.76,256.63,123.97,125.4,29.59,63.36,22.55,0.0,10.45,5.61,4.95,6.27,0.0,0.0,0.0,986.48,27.28
21,0.21,108.02,250.58,254.32,126.06,129.8,31.79,70.4,22.55,0.0,8.36,7.59,0.0,6.27,0.0,0.0,0.0,993.52,22.22
22,0.22,103.62,246.4,249.81,128.15,131.89,31.79,72.82,22.55,0.0,8.36,5.61,0.0,6.27,0.0,0.0,0.0,987.03,20.24
23,0.23,97.13,240.13,242.99,128.15,134.09,33.88,75.13,24.75,0.0,8.36,5.61,0.0,4.18,0.0,0.0,0.0,976.25,18.15
24,0.24,92.73,231.77,233.86,130.24,138.49,33.88,77.55,24.75,0.0,10.45,5.61,0.0,4.18,0.0,0.0,0.0,963.27,20.24
25,0.25,86.24,223.41,224.84,130.24,140.58,33.88,82.28,24.75,0.0,8.36,5.61,0.0,4.18,0.0,0.0,0.0,946.22,18.15
26,0.26,81.84,215.05,220.11,132.33,144.98,33.88,84.59,24.75,0.0,10.45,5.61,0.0,4.18,0.0,0.0,0.0,937.53,20.24
27,0.27,77.55,206.8,212.96,130.24,149.38,33.88,87.01,24.75,0.0,8.36,5.61,0.0,0.0,0.0,0.0,0.0,922.57,13.97
28,0.28,73.15,200.64,210.65,132.33,153.67,35.97,91.74,24.75,0.0,8.36,5.61,0.0,0.0,0.0,0.0,0.0,922.9,13.97
29,0.29,70.95,196.46,208.23,132.33,158.07,35.97,94.05,24.75,0.0,8.36,5.61,0.0,0.0,0.0,0.0,0.0,920.81,13.97
30,0.3,70.95,194.37,208.23,132.33,160.16,35.97,94.05,24.75,0.0,8.36,5.61,0.0,0.0,0.0,0.0,0.0,920.81,13.97
31,0.31,70.95,192.28,208.23,132.33,164.56,35.97,96.47,24.75,0.0,8.36,5.61,0.0,0.0,0.0,0.0,0.0,925.54,13.97
32,0.32,70.95,192.28,210.65,134.31,166.76,35.97,98.78,24.75,0.0,8.36,5.61,0.0,0.0,0.0,0.0,0.0,934.45,13.97
33,0.33,70.95,190.19,210.65,134.31,171.16,35.97,101.2,24.75,0.0,8.36,5.61,0.0,0.0,0.0,0.0,0.0,939.18,13.97
34,0.34,68.75,188.21,212.96,136.4,175.56,38.06,103.51,27.06,0.0,10.45,5.61,0.0,0.0,0.0,0.0,0.0,950.51,16.06
35,0.35,68.75,184.03,210.65,140.58,182.16,40.26,110.66,27.06,0.0,8.36,5.61,0.0,0.0,0.0,0.0,0.0,964.15,13.97
36,0.36,64.46,177.87,208.23,142.67,188.76,42.35,117.59,27.06,0.0,8.36,5.61,0.0,0.0,0.0,0.0,0.0,968.99,13.97
37,0.37,62.26,171.6,203.5,146.74,195.36,44.44,124.41,29.26,0.0,8.36,5.61,0.0,0.0,0.0,0.0,0.0,977.57,13.97
38,0.38,57.97,165.22,198.77,153.01,202.07,46.53,133.43,29.26,0.0,8.36,5.61,0.0,0.0,0.0,0.0,0.0,986.26,13.97
39,0.39,53.79,156.42,191.73,157.08,210.87,50.82,142.56,29.26,0.0,8.36,5.61,0.0,0.0,0.0,0.0,0.0,992.53,13.97
40,0.4,51.7,147.62,184.69,161.26,215.27,55.11,149.38,31.57,0.0,8.36,5.61,0.0,0.0,0.0,0.0,0.0,996.6,13.97
41,0.41,47.52,138.82,175.23,165.44,221.98,57.42,156.09,33.77,0.0,8.36,5.61,0.0,0.0,0.0,0.0,0.0,996.27,13.97
42,0.42,43.45,130.02,168.19,169.62,226.49,59.73,160.71,33.77,0.0,8.36,5.61,0.0,0.0,0.0,0.0,0.0,991.98,13.97
43,0.43,39.27,121.22,159.28,171.71,233.2,62.15,167.53,33.77,0.0,8.36,5.61,0.0,0.0,0.0,0.0,0.0,988.13,13.97
44,0.44,37.18,112.42,150.48,176.0,237.71,66.77,172.15,36.08,0.0,8.36,5.61,0.0,0.0,0.0,0.0,0.0,988.79,13.97
45,0.45,33.11,104.17,141.68,178.09,244.53,69.19,179.08,36.08,0.0,8.36,5.61,0.0,0.0,0.0,0.0,0.0,985.93,13.97
46,0.46,31.02,96.25,135.08,182.38,251.35,71.5,183.81,36.08,0.0,8.36,7.59,0.0,0.0,0.0,0.0,0.0,987.47,15.95
47,0.47,28.93,88.33,126.28,184.47,255.86,73.81,188.43,38.28,0.0,8.36,5.61,0.0,0.0,0.0,0.0,0.0,984.39,13.97
48,0.48,26.84,80.3,117.48,186.56,262.68,76.23,193.05,38.28,0.0,8.36,7.59,0.0,0.0,0.0,0.0,0.0,981.42,15.95
49,0.49,24.75,72.38,106.37,188.65,269.39,80.85,197.78,38.28,0.0,8.36,7.59,0.0,0.0,0.0,0.0,0.0,978.45,15.95
50,0.5,22.77,64.46,95.15,190.85,273.9,83.27,202.4,38.28,0.0,8.36,7.59,0.0,0.0,0.0,0.0,0.0,971.08,15.95
51,0.51,20.68,54.56,86.24,190.85,280.72,85.58,209.44,40.59,0.0,10.45,7.59,0.0,0.0,0.0,0.0,0.0,968.66,18.04
52,0.52,16.5,47.08,75.13,192.94,285.12,88.0,214.06,40.59,0.0,8.36,5.61,0.0,0.0,0.0,0.0,0.0,959.42,13.97
53,0.53,14.41,39.49,66.22,192.94,289.63,90.31,220.99,40.59,0.0,8.36,5.61,0.0,0.0,0.0,0.0,0.0,954.58,13.97
54,0.54,12.32,33.88,53.13,192.94,296.34,95.04,227.92,42.79,0.0,8.36,5.61,0.0,0.0,0.0,0.0,0.0,954.36,13.97
55,0.55,10.34,30.14,43.23,190.85,298.54,97.35,234.85,42.79,0.0,8.36,5.61,0.0,0.0,0.0,0.0,0.0,948.09,13.97
56,0.56,8.25,26.29,31.46,188.65,300.85,99.66,241.78,42.79,0.0,8.36,5.61,0.0,0.0,0.0,0.0,0.0,939.73,13.97
57,0.57,6.16,22.55,23.54,184.47,303.05,104.39,248.6,42.79,0.0,6.27,5.61,0.0,0.0,0.0,0.0,0.0,935.55,11.88
58,0.58,6.16,20.68,19.58,180.18,300.85,106.7,255.53,45.1,0.0,8.36,5.61,0.0,0.0,0.0,0.0,0.0,934.78,13.97
59,0.59,6.16,16.94,15.73,173.8,296.34,109.12,260.15,42.79,0.0,6.27,5.61,0.0,0.0,0.0,0.0,0.0,921.03,11.88
60,0.6,4.07,16.94,13.75,167.53,289.63,111.43,264.66,42.79,0.0,6.27,5.61,0.0,0.0,0.0,0.0,0.0,910.8,11.88
61,0.61,4.07,15.07,13.75,155.1,280.72,113.85,266.97,42.79,0.0,8.36,5.61,0.0,0.0,0.0,0.0,0.0,892.32,13.97
62,0.62,4.07,15.07,11.77,142.67,273.9,116.16,271.59,40.59,0.0,8.36,5.61,0.0,0.0,0.0,0.0,0.0,875.82,13.97
63,0.63,0.0,13.09,11.77,130.24,264.88,118.58,276.21,40.59,20.57,8.36,5.61,0.0,0.0,0.0,0.0,0.0,855.36,34.54
64,0.64,0.0,13.09,9.79,115.72,253.55,121.0,278.52,40.59,64.35,14.63,7.59,0.0,0.0,0.0,0.0,0.0,832.26,86.57
65,0.65,0.0,11.22,7.81,100.98,242.33,121.0,280.72,42.79,123.53,45.98,11.33,0.0,0.0,0.0,0.0,0.0,806.85,180.84
66,0.66,0.0,11.22,7.81,90.42,226.49,123.42,280.72,42.79,178.42,86.13,28.49,0.0,0.0,0.0,0.0,0.0,782.87,293.04
67,0.67,0.0,11.22,7.81,77.66,208.67,125.73,278.52,42.79,187.77,131.23,70.29,0.0,0.0,0.0,0.0,0.0,752.4,389.29
